date,working_day
20170716,weekend
20170717,working_day
20170718,working_day
20170719,working_day
20170720,working_day
20170721,working_day
20170722,weekend
20170723,weekend
20170724,working_day
20170725,working_day
20170726,working_day
20170727,working_day
20170728,working_day
20170729,weekend
20170730,weekend
20170731,working_day
20170801,working_day
